Date,Open,High,Low,Close,Volume
2016-06-22 03:55,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 03:56,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 03:57,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 03:58,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 03:59,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:00,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:01,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:02,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:03,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:04,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:05,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:06,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:07,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:08,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:09,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:10,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:11,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:12,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:13,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:14,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:15,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:16,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:17,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:18,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:19,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:20,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:21,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:22,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:23,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:24,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:25,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:26,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:27,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:28,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:29,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:30,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:31,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:32,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:33,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:34,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:35,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:36,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:37,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:38,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:39,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:40,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:41,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:42,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:43,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:44,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:45,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:46,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:47,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:48,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:49,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:50,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:51,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:52,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:53,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:54,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:55,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:56,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:57,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:58,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 04:59,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:00,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:01,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:02,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:03,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:04,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:05,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:06,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:07,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:08,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:09,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:10,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:11,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:12,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:13,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:14,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:15,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:16,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:17,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:18,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:19,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:20,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:21,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:22,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:23,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:24,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:25,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:26,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:27,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:28,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:29,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:30,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:31,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:32,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:33,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:34,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:35,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:36,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:37,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:38,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:39,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:40,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:41,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:42,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:43,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:44,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:45,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:46,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:47,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:48,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:49,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:50,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:51,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:52,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:53,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:54,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:55,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:56,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:57,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:58,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 05:59,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:00,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:01,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:02,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:03,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:04,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:05,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:06,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:07,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:08,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:09,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:10,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:11,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:12,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:13,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:14,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:15,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:16,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:17,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:18,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:19,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:20,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:21,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:22,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:23,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:24,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:25,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:26,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:27,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:28,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:29,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:30,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:31,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:32,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:33,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:34,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:35,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:36,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:37,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:38,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:39,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:40,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:41,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:42,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:43,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:44,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:45,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:46,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:47,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:48,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:49,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:50,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:51,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:52,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:53,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:54,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:55,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:56,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:57,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:58,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 06:59,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:00,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:01,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:02,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:03,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:04,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:05,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:06,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:07,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:08,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:09,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:10,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:11,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:12,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:13,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:14,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:15,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:16,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:17,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:18,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:19,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:20,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:21,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:22,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:23,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:24,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:25,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:26,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:27,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:28,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:29,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:30,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:31,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:32,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:33,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:34,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:35,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:36,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:37,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:38,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:39,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:40,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:41,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:42,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:43,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:44,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:45,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:46,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:47,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:48,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:49,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:50,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:51,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:52,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:53,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:54,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:55,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:56,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:57,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:58,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 07:59,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:00,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:01,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:02,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:03,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:04,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:05,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:06,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:07,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:08,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:09,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:10,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:11,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:12,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:13,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:14,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:15,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:16,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:17,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:18,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:19,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:20,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:21,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:22,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:23,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:24,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:25,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:26,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:27,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:28,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:29,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:30,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:31,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:32,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:33,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:34,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:35,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:36,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:37,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:38,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:39,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:40,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:41,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:42,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:43,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:44,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:45,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:46,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:47,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:48,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:49,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:50,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:51,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:52,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:53,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:54,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:55,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:56,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:57,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:58,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 08:59,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:00,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:01,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:02,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:03,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:04,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:05,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:06,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:07,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:08,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:09,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:10,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:11,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:12,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:13,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:14,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:15,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:16,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:17,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:18,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:19,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:20,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:21,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:22,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:23,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:24,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:25,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:26,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:27,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:28,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:29,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:30,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:31,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:32,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:33,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:34,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:35,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:36,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:37,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:38,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:39,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:40,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:41,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:42,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:43,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:44,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:45,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:46,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:47,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:48,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:49,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:50,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:51,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:52,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:53,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:54,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:55,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:56,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:57,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:58,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 09:59,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:00,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:01,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:02,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:03,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:04,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:05,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:06,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:07,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:08,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:09,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:10,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:11,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:12,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:13,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:14,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:15,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:16,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:17,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:18,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:19,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:20,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:21,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:22,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:23,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:24,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:25,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:26,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:27,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:28,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:29,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:30,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:31,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:32,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:33,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:34,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:35,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:36,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:37,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:38,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:39,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:40,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:41,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:42,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:43,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:44,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:45,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:46,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:47,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:48,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:49,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:50,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:51,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:52,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:53,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:54,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:55,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:56,7.050000,7.05,7.05,7.050000,3859036
2016-06-22 10:57,7.050000,7.05,7.05,7.050000,3859036
